,NAME_0,loc05,loc01,loc005,target,random,avg_index,ranked
77,Micronesia,0.5,0.5,0.6132073489010988,0.3025659321496513,0.8998994318829252,0.563134542586735,201.0
78,Gabon,0.6081478480078701,0.5190774038461539,0.506652403846154,0.24399675741583457,0.4732239328079596,0.4702196691847944,103.0
79,United Kingdom,0.5393951180521397,0.3930992445054945,0.3881242445054945,0.08112574508560558,0.5749204686493945,0.39533296415962577,27.0
80,Georgia,0.6428821200196754,0.5332808379120879,0.5030942307692308,0.23523985003876335,0.575874128391182,0.4980742334261879,138.0
82,Ghana,0.5454295376291196,0.3712625686813187,0.3595875686813187,0.16076776927333997,0.5247059650983494,0.3923506818726893,24.0
83,Gibraltar,0.5,0.5,0.6279189560439561,0.3904181620200824,0.36791354704681467,0.4772501330221706,108.0
84,Guinea,0.58678162813576,0.4259478021978022,0.40887548076923075,0.22311354034808967,0.5181566901784811,0.4325750283258728,62.0
86,Gambia,0.4514,0.527025206043956,0.516950206043956,0.46498749082849666,0.4294894626104036,0.47797047310536245,109.0
87,Guinea-Bissau,0.64364017461879,0.576396771978022,0.566896771978022,0.4731737674365093,0.3824904764422898,0.5285195924907267,176.0
88,Equatorial Guinea,0.7332913182488933,0.5479447802197802,0.5217699862637363,0.2684169371866209,0.44605402782687276,0.5034954099491807,144.0
89,Greece,0.6222777791441221,0.46676284340659335,0.4567878434065934,0.1469210347612959,0.5919500206826649,0.4569399042802539,85.0
90,Grenada,0.5,0.6771524038461538,0.707865728021978,0.3241407822763012,0.2983271648151846,0.5014972157919235,142.0
91,Greenland,0.5,0.5,0.49002500000000004,0.530339911313061,0.3733538253597264,0.4787437473345575,110.0
92,Guatemala,0.6296220609936055,0.45178406593406595,0.42865906593406594,0.1765779838046232,0.5529341995190876,0.4479154752370896,80.0
95,Guyana,0.46855,0.41147500000000004,0.4427181318681319,0.42673710746964516,0.4575174055042286,0.4413995289684012,73.0
98,Honduras,0.62337779144122,0.5053398351648352,0.4625398351648351,0.20923537541043727,0.5486898914062839,0.4698365457175223,101.0
